"genus","species","scientificName"
"Rubus","rosa","Rubus rosa"
"Lupinus","perennis","Lupinus perennis"
"Echinacea","pallida","Echinacea pallida"
"Gillenia","stipulata","Gillenia stipulata"
"Pilosella","caespitosa","Pilosella caespitosa"
"Rubus","pubescens","Rubus pubescens"
"Carex","lupulina","Carex lupulina"
"Oclemena","acuminata","Oclemena acuminata"
"Hydrocotyle","americana","Hydrocotyle americana"
"Doellingeria","umbellata","Doellingeria umbellata"
"Sorbus","aucuparia","Sorbus aucuparia"
"Stellaria","graminea","Stellaria graminea"
"Heterotheca","subaxillaris","Heterotheca subaxillaris"
"Ceanothus","americanus","Ceanothus americanus"
"Symphyotrichum","novi-belgii","Symphyotrichum novi-belgii"
"Sonchus","arvensis","Sonchus arvensis"
"Lycopus","europaeus","Lycopus europaeus"
"Mahonia","aquifolium","Mahonia aquifolium"
"Silene","antirrhina","Silene antirrhina"
"Stellaria","aquatica","Stellaria aquatica"
"Eupatorium","pilosum","Eupatorium pilosum"
"Selaginella","apoda","Selaginella apoda"
"Inula","helenium","Inula helenium"
"Juglans","cinerea","Juglans cinerea"
"Allium","tricoccum","Allium tricoccum"
"Zanthoxylum","americanum","Zanthoxylum americanum"
"Trifolium","fragiferum","Trifolium fragiferum"
"Abies","concolor","Abies concolor"
"Actaea","rubra","Actaea rubra"
"Lilium","canadense","Lilium canadense"
"Arrhenatherum","elatius","Arrhenatherum elatius"
"Campanula","trachelium","Campanula trachelium"
"Cyperus","bipartitus","Cyperus bipartitus"
"Ribes","americanum","Ribes americanum"
"Echium","vulgare","Echium vulgare"
"Myriophyllum","spicatum","Myriophyllum spicatum"
"Viola","labradorica","Viola labradorica"
"Silene","flos-cuculi","Silene flos-cuculi"
"Persicaria","hydropiperoides","Persicaria hydropiperoides"
"Trillium","cernuum","Trillium cernuum"
"Larix","laricina","Larix laricina"
"Rosa","canina","Rosa canina"
"Salix","eriocephala","Salix eriocephala"
"Gnaphalium","uliginosum","Gnaphalium uliginosum"
"Lysimachia","vulgaris","Lysimachia vulgaris"
"Sium","suave","Sium suave"
"Carex","torta","Carex torta"
"Nabalus","altissima","Nabalus altissima"
"Bartonia","virginica","Bartonia virginica"
"Mentha","piperita","Mentha piperita"
"Veronica","anagallis-aquatica","Veronica anagallis-aquatica"
"Cornus","rugosa","Cornus rugosa"
"Scutellaria","galericulata","Scutellaria galericulata"
"Carex","extensa","Carex extensa"
"Suaeda","maritima","Suaeda maritima"
"Pycnanthemum","incanum","Pycnanthemum incanum"
"Barbarea","verna","Barbarea verna"
"Pilosella","aurantiaca","Pilosella aurantiaca"
"Corylus","cornuta","Corylus cornuta"
"Dendrolycopodium","dendroideum","Dendrolycopodium dendroideum"
"Lycopodium","clavatum","Lycopodium clavatum"
"Carex","pallescens","Carex pallescens"
"Botrypus","virginianus","Botrypus virginianus"
"Persicaria","amphibia","Persicaria amphibia"
"Digitalis","grandiflora","Digitalis grandiflora"
"Asplenium","trichomanes","Asplenium trichomanes"
"Larix","decidua","Larix decidua"
"Vaccinium","stamineum","Vaccinium stamineum"
"Platanthera","lacera","Platanthera lacera"
"Lobelia","spicata","Lobelia spicata"
"Toxicodendron","rydbergii","Toxicodendron rydbergii"
"Acer","spicatum","Acer spicatum"
"Ribes","cynosbati","Ribes cynosbati"
"Ilex","mucronata","Ilex mucronata"
"Galium","verum","Galium verum"
"Lonicera","dioica","Lonicera dioica"
"Carduus","acanthoides","Carduus acanthoides"
"Acer","nigrum","Acer nigrum"
"Pulmonaria","saccharata","Pulmonaria saccharata"
"Viola","rostrata","Viola rostrata"
"Dirca","palustris","Dirca palustris"
"Lonicera","canadensis","Lonicera canadensis"
"Borodinia","laevigata","Borodinia laevigata"
"Torilis","japonica","Torilis japonica"
"Dryopteris","goldieana","Dryopteris goldieana"
"Uvularia","perfoliata","Uvularia perfoliata"
"Cystopteris","bulbifera","Cystopteris bulbifera"
"Carex","gracillima","Carex gracillima"
"Pyrola","elliptica","Pyrola elliptica"
"Erysimum","cheiranthoides","Erysimum cheiranthoides"
"Phegopteris","connectilis","Phegopteris connectilis"
"Huperzia","lucidula","Huperzia lucidula"
"Carex","flava","Carex flava"
"Agrimonia","parviflora","Agrimonia parviflora"
"Claytonia","caroliniana","Claytonia caroliniana"
"Parnassia","glauca","Parnassia glauca"
"Lobelia","kalmii","Lobelia kalmii"
"Carex","hystericina","Carex hystericina"
"Eriophorum","viridicarinatum","Eriophorum viridicarinatum"
"Asplenium","rhizophyllum","Asplenium rhizophyllum"
"Cirsium","pumilum","Cirsium pumilum"
"Lysimachia","thyrsiflora","Lysimachia thyrsiflora"
"Dipsacus","laciniatus","Dipsacus laciniatus"
"Scirpus","atrovirens","Scirpus atrovirens"
"Cubelium","concolor","Cubelium concolor"
"Viola","rotundifolia","Viola rotundifolia"
"Lilium","philadelphicum","Lilium philadelphicum"
"Prunus","pensylvanica","Prunus pensylvanica"
"Coptis","trifolia","Coptis trifolia"
"Viola","blanda","Viola blanda"
"Dryopteris","cristata","Dryopteris cristata"
"Solidago","patula","Solidago patula"
"Fraxinus","nigra","Fraxinus nigra"
"Dicentra","canadensis","Dicentra canadensis"
"Sibbaldia","tridentata","Sibbaldia tridentata"
"Agalinis","tenuifolia","Agalinis tenuifolia"
"Mimulus","alatus","Mimulus alatus"
"Agrimonia","gryposepala","Agrimonia gryposepala"
"Pinus","banksiana","Pinus banksiana"
"Malva","moschata","Malva moschata"
"Spinulum","annotinum","Spinulum annotinum"
"Oxalis","montana","Oxalis montana"
"Trillium","undulatum","Trillium undulatum"
"Chamaenerion","angustifolium","Chamaenerion angustifolium"
"Luzula","acuminata","Luzula acuminata"
"Clintonia","borealis","Clintonia borealis"
"Sorbus","americana","Sorbus americana"
"Cornus","canadensis","Cornus canadensis"
"Geum","rivale","Geum rivale"
"Rhododendron","roseum","Rhododendron roseum"
"Linnaea","borealis","Linnaea borealis"
"Dianthus","deltoides","Dianthus deltoides"
"Carex","pedunculata","Carex pedunculata"
"Eriophorum","virginicum","Eriophorum virginicum"
"Antennaria","parlinii","Antennaria parlinii"
"Geum","fragarioides","Geum fragarioides"
"Calla","palustris","Calla palustris"
"Comarum","palustre","Comarum palustre"
"Carex","gynandra","Carex gynandra"
"Carya","ovalis","Carya ovalis"
"Mentha","canadensis","Mentha canadensis"
"Viburnum","rafinesqueanum","Viburnum rafinesqueanum"
"Spiranthes","arcisepala","Spiranthes arcisepala"
"Palustricodon","aparinoides","Palustricodon aparinoides"
"Equisetum","sylvaticum","Equisetum sylvaticum"
"Spiranthes","incurva","Spiranthes incurva"
"Butomus","umbellatus","Butomus umbellatus"
"Drymocallis","arguta","Drymocallis arguta"
"Veronica","americana","Veronica americana"
"Galeopsis","bifida","Galeopsis bifida"
"Epilobium","parviflorum","Epilobium parviflorum"
"Arisaema","stewardsonii","Arisaema stewardsonii"
"Calystegia","spithamaea","Calystegia spithamaea"
"Daphne","mezereum","Daphne mezereum"
"Platanthera","clavellata","Platanthera clavellata"
"Rhododendron","groenlandicum","Rhododendron groenlandicum"
"Vaccinium","myrtilloides","Vaccinium myrtilloides"
"Gaultheria","hispidula","Gaultheria hispidula"
"Circaea","alpina","Circaea alpina"
"Polygala","senega","Polygala senega"
"Carex","albursina","Carex albursina"
"Geum","urbanum","Geum urbanum"
"Smilax","tamnoides","Smilax tamnoides"
"Hydrophyllum","canadense","Hydrophyllum canadense"
"Andromeda","polifolia","Andromeda polifolia"
"Gymnocarpium","dryopteris","Gymnocarpium dryopteris"
"Veronica","scutellata","Veronica scutellata"
"Streptopus","lanceolatus","Streptopus lanceolatus"
"Picea","mariana","Picea mariana"
"Hypericum","ellipticum","Hypericum ellipticum"
"Vaccinium","oxycoccos","Vaccinium oxycoccos"
"Polymnia","canadensis","Polymnia canadensis"
"Picris","hieracioides","Picris hieracioides"
"Patis","racemosa","Patis racemosa"
"Homalosorus","pycnocarpos","Homalosorus pycnocarpos"
"Dalibarda","repens","Dalibarda repens"
"Lonicera","hirsuta","Lonicera hirsuta"
"Geum","catlingii","Geum catlingii"
"Crataegus","punctata","Crataegus punctata"
"Symphyotrichum","urophyllum","Symphyotrichum urophyllum"
"Solidago","ohioensis","Solidago ohioensis"
"Carex","interior","Carex interior"
"Poterium","sanguisorba","Poterium sanguisorba"
"Schoenoplectus","acutus","Schoenoplectus acutus"
"Symphyotrichum","ontarionis","Symphyotrichum ontarionis"
"Adlumia","fungosa","Adlumia fungosa"
"Ulmus","thomasii","Ulmus thomasii"
"Lilium","michiganense","Lilium michiganense"
"Schizachne","purpurascens","Schizachne purpurascens"
"Argentina","anserina","Argentina anserina"
"Antennaria","howellii","Antennaria howellii"
"Rosa","blanda","Rosa blanda"
"Kalmia","polifolia","Kalmia polifolia"
"Euphorbia","vermiculata","Euphorbia vermiculata"
"Gentiana","linearis","Gentiana linearis"
"Geum","triflorum","Geum triflorum"
"Houstonia","longifolia","Houstonia longifolia"
